cod_municipio,UF,municipio,populacao,faixa_populacao,regiao,atendimento_website,atendimento_whatsapp,atendimento_telefone,nao_disponibiliza_atendimento_distancia,tipo_conexao_internet,tem_estrutura_t,ti_funcionarios_efetivos,ti_terceirizados,tem_cpd,software_interno,software_sociedade,nao_desenvolveu_software,A página da prefeitura na internet está,servico_ouvidoria_online,servico_consulta_processos,servico_nota_fiscal_eletronica,servico_agendamento_saude,site_mobile,tem_inclusao_digital,curso_informatica_populacao,tem_wifi_publico,consulta_publica_online,tem_portal_transparencia,tem_portal_dados_abertos,acessibilidade_sem_mouse,acessibilidade_libras
2307106,CE,Jardim,28707,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
2307205,CE,Jati,8100,2 - 5001 até 10000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Não,Sim,Sim,Sim,Sim
2307254,CE,Jijoca de Jericoacoara,27662,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não
2307304,CE,Juazeiro do Norte,303004,6 - 100001 até 500000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,-,-
2307403,CE,Jucás,24591,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Não
2307502,CE,Lavras da Mangabeira,32123,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Não,Não,"Via modem Via linha telefônica (DSL)G, Via rádioG ou Via satéliteG",Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Sim,Não
2307601,CE,Limoeiro do Norte,62285,5 - 50001 até 100000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,-,-
2307635,CE,Madalena,17264,3 - 10001 até 20000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,Não,Sim
2307650,CE,Maracanaú,249684,6 - 100001 até 500000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim
2307700,CE,Maranguape,108937,6 - 100001 até 500000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não
2307809,CE,Marco,27064,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
2307908,CE,Martinópole,11232,3 - 10001 até 20000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não
